title,release_date,rating,popularity,original language
Obsession,2026-05-13,8.245,822.6336,en
Disclosure Day,2026-06-10,6.671,644.553,en
Scary Movie,2026-06-03,5.4,593.7829,en
Backrooms,2026-05-27,6.841,569.6228,en
Toy Story 5,2026-06-17,7.416,622.0565,en
The Devil Wears Prada 2,2026-04-29,6.972,408.2601,en
Citizen Vigilante,2026-06-19,6.6,291.074,en
Deep Water,2026-04-30,6.944,285.4005,en
Michael,2026-04-22,8.704,222.5808,en
Minions & Monsters,2026-06-24,6.4,207.0611,en
Mortal Kombat II,2026-05-06,8.0,192.0852,en
Enola Holmes 3,2026-06-30,7.017,199.6303,en
Your Heart Will Be Broken,2026-03-26,7.0,193.2765,ru
The Sheep Detectives,2026-04-30,7.8,170.4041,en
The Shawshank Redemption,1994-09-23,8.7,164.9966,en
Supergirl,2026-06-24,6.268,143.5624,en
Project Hail Mary,2026-03-15,8.676,176.7562,en
Damage,1992-12-02,6.591,161.4357,en
Toy Story 4,2019-06-19,7.46,123.3036,en
Avatar: Fire and Ash,2025-12-17,7.616,131.289,en
